 - 0.	 - 0.	
451	1123.0	
452	1058.0	
453	1030.0	
454	994.0	
455	977.0	
456	959.0	
457	938.0	
458	895.0	
459	877.0	
460	860.0	
461	850.0	
462	845.0	
463	841.0	
464	830.0	
465	841.0	
466	843.0	
467	829.0	
468	831.0	
469	824.0	
470	835.0	
471	821.0	
472	826.0	
473	822.0	
474	812.0	
475	811.0	
476	816.0	
477	817.0	
478	810.0	
479	799.0	
480	807.0	
481	819.0	
482	810.0	
483	807.0	
484	800.0	
485	814.0	
486	804.0	
487	802.0	
488	805.0	
489	797.0	
490	814.0	
491	804.0	
492	800.0	
493	799.0	
494	800.0	
495	807.0	
496	808.0	
497	806.0	
498	809.0	
499	802.0	
500	803.0	
501	801.0	
502	816.0	
503	792.0	
504	794.0	
505	814.0	
506	800.0	
507	813.0	
508	808.0	
509	794.0	
510	803.0	
511	797.0	
512	802.0	
513	798.0	
514	808.0	
515	808.0	
516	800.0	
517	809.0	
518	815.0	
519	793.0	
520	818.0	
521	811.0	
522	786.0	
523	805.0	
524	798.0	
525	803.0	
526	799.0	
527	799.0	
528	802.0	
529	797.0	
530	790.0	
531	804.0	
532	807.0	
533	805.0	
534	788.0	
535	803.0	
536	807.0	
537	802.0	
538	806.0	
539	795.0	
540	803.0	
541	812.0	
542	809.0	
543	801.0	
544	798.0	
545	810.0	
546	808.0	
547	789.0	
548	804.0	
549	794.0	
550	806.0	
551	819.0	
552	794.0	
553	807.0	
554	794.0	
555	807.0	
556	814.0	
557	803.0	
558	809.0	
559	805.0	
560	807.0	
561	799.0	
562	791.0	
563	796.0	
564	805.0	
565	811.0	
566	800.0	
567	805.0	
568	822.0	
569	793.0	
570	805.0	
571	799.0	
572	810.0	
573	807.0	
574	809.0	
575	818.0	
576	797.0	
577	815.0	
578	805.0	
579	799.0	
580	813.0	
581	802.0	
582	802.0	
583	803.0	
584	796.0	
585	796.0	
586	810.0	
587	799.0	
588	810.0	
589	815.0	
590	815.0	
591	804.0	
592	811.0	
593	803.0	
594	795.0	
595	792.0	
596	805.0	
597	823.0	
598	805.0	
599	800.0	
600	802.0	
601	801.0	
602	796.0	
603	821.0	
604	809.0	
605	806.0	
606	815.0	
607	822.0	
608	813.0	
609	818.0	
610	815.0	
611	823.0	
612	816.0	
613	819.0	
614	819.0	
615	815.0	
616	822.0	
617	818.0	
