 - 0.	 - 0.	
455	799.0	
456	799.0	
457	787.0	
458	795.0	
459	798.0	
460	809.0	
461	805.0	
462	789.0	
463	801.0	
464	787.0	
465	794.0	
466	792.0	
467	798.0	
468	804.0	
469	791.0	
470	799.0	
471	799.0	
472	801.0	
473	801.0	
474	787.0	
475	792.0	
476	799.0	
477	807.0	
478	791.0	
479	785.0	
480	797.0	
481	807.0	
482	799.0	
483	807.0	
484	794.0	
485	790.0	
486	802.0	
487	790.0	
488	794.0	
489	799.0	
490	800.0	
491	799.0	
492	811.0	
493	805.0	
494	793.0	
495	801.0	
496	801.0	
497	802.0	
498	797.0	
499	790.0	
500	795.0	
501	801.0	
502	796.0	
503	805.0	
504	796.0	
505	783.0	
506	799.0	
507	795.0	
508	798.0	
509	794.0	
510	799.0	
511	801.0	
512	803.0	
513	796.0	
514	796.0	
515	801.0	
516	784.0	
517	804.0	
518	803.0	
519	783.0	
520	799.0	
521	801.0	
522	793.0	
523	809.0	
524	779.0	
525	794.0	
526	803.0	
527	791.0	
528	796.0	
529	787.0	
530	812.0	
531	795.0	
532	792.0	
533	810.0	
534	787.0	
535	791.0	
536	784.0	
537	809.0	
538	804.0	
539	802.0	
540	794.0	
541	804.0	
542	794.0	
543	792.0	
544	787.0	
545	805.0	
546	799.0	
547	790.0	
548	812.0	
549	796.0	
550	796.0	
551	798.0	
552	801.0	
553	784.0	
554	792.0	
555	805.0	
556	792.0	
557	793.0	
558	795.0	
559	797.0	
560	800.0	
561	798.0	
562	802.0	
563	798.0	
564	803.0	
565	799.0	
566	801.0	
567	789.0	
568	787.0	
569	792.0	
570	807.0	
571	799.0	
572	803.0	
573	798.0	
574	789.0	
575	805.0	
576	786.0	
577	813.0	
578	791.0	
579	794.0	
580	807.0	
581	804.0	
582	806.0	
583	797.0	
584	798.0	
585	793.0	
586	795.0	
587	799.0	
588	792.0	
589	793.0	
590	801.0	
591	801.0	
592	802.0	
593	802.0	
594	802.0	
595	794.0	
596	802.0	
597	802.0	
598	799.0	
599	806.0	
600	799.0	
601	794.0	
602	797.0	
603	794.0	
604	811.0	
605	794.0	
606	797.0	
607	794.0	
608	805.0	
609	798.0	
610	789.0	
611	795.0	
612	790.0	
613	790.0	
614	787.0	
615	788.0	
616	805.0	
617	799.0	
618	800.0	
619	797.0	
620	804.0	
621	787.0	
622	793.0	
623	792.0	
624	799.0	
625	790.0	
626	795.0	
627	799.0	
628	806.0	
629	788.0	
630	787.0	
631	797.0	
632	800.0	
633	794.0	
634	790.0	
635	801.0	
636	806.0	
637	803.0	
638	806.0	
639	796.0	
640	795.0	
641	798.0	
642	797.0	
643	800.0	
644	792.0	
645	799.0	
646	795.0	
647	792.0	
648	812.0	
649	799.0	
650	801.0	
651	794.0	
652	799.0	
653	794.0	
654	794.0	
655	797.0	
656	796.0	
657	793.0	
658	799.0	
659	803.0	
660	798.0	
661	797.0	
662	794.0	
663	795.0	
664	789.0	
665	802.0	
666	796.0	
667	792.0	
668	800.0	
669	791.0	
670	795.0	
671	794.0	
672	807.0	
673	793.0	
674	796.0	
675	794.0	
676	796.0	
677	796.0	
678	810.0	
679	802.0	
680	801.0	
681	802.0	
682	809.0	
683	798.0	
684	803.0	
685	794.0	
686	797.0	
687	802.0	
688	792.0	
689	791.0	
690	797.0	
691	799.0	
692	805.0	
693	795.0	
694	790.0	
695	803.0	
696	801.0	
697	803.0	
698	789.0	
699	788.0	
700	789.0	
701	804.0	
702	801.0	
703	797.0	
704	793.0	
705	808.0	
706	791.0	
707	804.0	
708	803.0	
709	789.0	
710	806.0	
711	789.0	
712	795.0	
713	786.0	
714	795.0	
715	803.0	
716	798.0	
717	791.0	
718	797.0	
719	774.0	
720	795.0	
721	790.0	
722	785.0	
723	806.0	
724	775.0	
725	801.0	
726	799.0	
727	796.0	
728	799.0	
729	791.0	
730	800.0	
731	795.0	
732	796.0	
733	798.0	
734	787.0	
735	797.0	
736	801.0	
737	798.0	
738	793.0	
739	787.0	
740	798.0	
741	801.0	
742	806.0	
743	799.0	
744	791.0	
745	803.0	
746	789.0	
747	795.0	
748	796.0	
749	798.0	
750	797.0	
751	791.0	
752	801.0	
753	786.0	
754	794.0	
755	813.0	
756	797.0	
757	793.0	
758	803.0	
759	793.0	
760	791.0	
761	788.0	
762	803.0	
763	803.0	
764	798.0	
765	803.0	
766	805.0	
767	791.0	
768	790.0	
769	788.0	
770	788.0	
771	791.0	
772	796.0	
773	796.0	
774	799.0	
775	802.0	
776	787.0	
777	783.0	
778	799.0	
779	792.0	
780	805.0	
781	797.0	
782	798.0	
783	801.0	
784	794.0	
785	793.0	
786	799.0	
787	797.0	
788	799.0	
789	780.0	
790	803.0	
791	805.0	
792	783.0	
793	791.0	
794	775.0	
795	793.0	
796	793.0	
797	794.0	
798	794.0	
799	793.0	
800	789.0	
801	795.0	
802	794.0	
803	807.0	
804	795.0	
805	794.0	
806	799.0	
807	795.0	
808	795.0	
809	799.0	
810	790.0	
811	799.0	
812	796.0	
813	802.0	
814	795.0	
815	797.0	
816	805.0	
817	797.0	
818	802.0	
819	791.0	
820	795.0	
821	794.0	
822	805.0	
823	798.0	
824	799.0	
825	792.0	
826	795.0	
827	805.0	
828	796.0	
829	811.0	
830	807.0	
831	793.0	
832	783.0	
833	804.0	
834	792.0	
835	783.0	
836	806.0	
837	795.0	
838	807.0	
839	787.0	
840	788.0	
841	791.0	
842	805.0	
843	786.0	
844	793.0	
845	796.0	
846	802.0	
847	790.0	
848	807.0	
849	793.0	
850	795.0	
851	791.0	
852	790.0	
853	775.0	
854	797.0	
855	798.0	
856	791.0	
857	797.0	
858	797.0	
859	789.0	
860	783.0	
861	795.0	
862	795.0	
863	795.0	
864	802.0	
865	800.0	
866	804.0	
867	794.0	
868	798.0	
869	790.0	
870	800.0	
871	793.0	
872	799.0	
873	793.0	
874	802.0	
875	800.0	
876	799.0	
877	787.0	
878	804.0	
879	805.0	
880	799.0	
881	799.0	
882	791.0	
883	799.0	
884	789.0	
885	805.0	
886	789.0	
887	797.0	
888	790.0	
889	782.0	
890	789.0	
891	799.0	
892	805.0	
893	801.0	
894	799.0	
895	792.0	
896	798.0	
897	792.0	
898	797.0	
899	797.0	
900	797.0	
901	799.0	
902	793.0	
903	800.0	
904	802.0	
905	809.0	
906	798.0	
907	793.0	
908	800.0	
909	803.0	
910	797.0	
911	802.0	
912	805.0	
913	797.0	
914	798.0	
915	782.0	
916	801.0	
917	797.0	
918	803.0	
919	791.0	
920	800.0	
921	811.0	
922	800.0	
923	799.0	
924	804.0	
925	802.0	
926	791.0	
927	798.0	
928	794.0	
929	790.0	
930	804.0	
931	796.0	
932	799.0	
933	806.0	
934	795.0	
935	797.0	
936	791.0	
937	806.0	
938	786.0	
939	794.0	
940	795.0	
941	799.0	
942	802.0	
943	799.0	
944	802.0	
945	794.0	
946	795.0	
947	796.0	
948	805.0	
949	802.0	
950	791.0	
951	799.0	
952	804.0	
953	798.0	
954	801.0	
955	790.0	
956	795.0	
957	804.0	
958	802.0	
959	795.0	
960	796.0	
961	801.0	
962	812.0	
963	797.0	
964	798.0	
965	803.0	
966	799.0	
967	792.0	
968	809.0	
969	806.0	
970	791.0	
971	802.0	
972	805.0	
973	795.0	
974	783.0	
975	808.0	
976	789.0	
977	796.0	
978	815.0	
979	800.0	
980	792.0	
981	799.0	
982	806.0	
983	799.0	
984	791.0	
985	798.0	
986	794.0	
987	799.0	
988	796.0	
989	795.0	
990	794.0	
991	800.0	
992	796.0	
993	808.0	
994	799.0	
995	790.0	
996	795.0	
997	799.0	
998	811.0	
999	792.0	
1000	794.0	
1001	813.0	
1002	793.0	
1003	803.0	
1004	780.0	
1005	789.0	
1006	804.0	
1007	791.0	
1008	787.0	
1009	795.0	
1010	801.0	
1011	789.0	
1012	781.0	
1013	793.0	
1014	807.0	
1015	789.0	
1016	796.0	
1017	804.0	
1018	803.0	
1019	788.0	
1020	797.0	
1021	797.0	
1022	807.0	
1023	805.0	
